[2025-07-29 21:04:10.269709] 192.168.31.118:57858 -> 192.168.31.1:53 | Protocol: (17, 20)
[2025-07-29 21:04:10.271634] 192.168.31.118:54890 -> 192.168.31.1:53 | Protocol: (17, 20)
[2025-07-29 21:05:45.525610] 104.86.188.138:443 -> 192.168.31.118:64118 | Protocol: (6, 20)
[2025-07-29 21:19:46.873320] 140.82.114.22:443 -> 192.168.31.118:64324 | Protocol: (6, 20)
[2025-07-29 21:24:18.853131] 52.123.128.14:443 -> 192.168.31.118:64364 | Protocol: (6, 20)
[2025-07-30 00:17:32.623886] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
[2025-07-30 00:17:32.692467] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:33.291841] [ALLOWED] 192.168.31.118:58890 -> 172.64.155.209:443 | Proto: 6
[2025-07-30 00:17:33.342224] [ALLOWED] 172.64.155.209:443 -> 192.168.31.118:58890 | Proto: 6
[2025-07-30 00:17:43.042536] [ALLOWED] 192.168.31.118:58891 -> 172.64.155.209:443 | Proto: 6
[2025-07-30 00:17:43.085223] [ALLOWED] 172.64.155.209:443 -> 192.168.31.118:58891 | Proto: 6
[2025-07-30 00:17:44.086197] [ALLOWED] 52.187.79.109:443 -> 192.168.31.118:53484 | Proto: 6
[2025-07-30 00:17:44.087890] [ALLOWED] 192.168.31.118:53484 -> 52.187.79.109:443 | Proto: 6
[2025-07-30 00:17:44.168687] [ALLOWED] 52.187.79.109:443 -> 192.168.31.118:53484 | Proto: 6
[2025-07-30 00:17:45.749532] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
[2025-07-30 00:17:45.837863] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:45.839875] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
[2025-07-30 00:17:45.842129] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:45.843701] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
[2025-07-30 00:17:45.913452] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:45.924323] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:45.926011] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:45.927402] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:45.928765] [ALLOWED] 91.108.56.134:443 -> 192.168.31.118:53476 | Proto: 6
[2025-07-30 00:17:45.930029] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
[2025-07-30 00:17:45.931393] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
[2025-07-30 00:17:45.932617] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
[2025-07-30 00:17:46.919819] [ALLOWED] 192.168.31.118:53476 -> 91.108.56.134:443 | Proto: 6
